epoch,phase,loss,accuracy
0,train,1.6758,0.6963
0,val,0.9618,0.8474
1,val,0.998,0.8095
1,train,1.4446,0.7971
2,train,1.5006,0.7578
2,val,0.8594,0.8628
3,val,0.8894,0.8351
3,train,1.4051,0.8006
4,train,1.5135,0.7674
4,val,0.9002,0.855
5,val,0.9347,0.8324
5,train,1.4269,0.8014
6,train,1.4603,0.7783
6,val,1.0303,0.8483
7,val,0.9192,0.8449
7,train,1.4251,0.8035
8,val,0.89,0.8608
8,train,1.4604,0.7875
9,val,0.905,0.8458
9,train,1.4065,0.8067
10,val,0.723,0.8812
10,train,1.4223,0.79
11,train,1.4246,0.8038
11,val,1.0803,0.8386
12,val,0.8171,0.867
12,train,1.4374,0.7904
13,train,1.4154,0.8075
13,val,0.9248,0.8578
14,train,1.4484,0.7924
14,val,0.9923,0.8531
