resnet,validation data,0,0.8248779773712158
resnet,validation data,1,0.843568742275238
resnet,validation data,2,0.8549857139587402
resnet,validation data,3,0.8571954965591431
resnet,validation data,4,0.8607863187789917
resnet,validation data,5,0.8675075769424438
resnet,validation data,6,0.8620753288269043
resnet,validation data,7,0.8645612597465515
resnet,validation data,8,0.8672313690185547
resnet,validation data,9,0.8680600523948669
resnet,validation data,10,0.8745971918106079
resnet,validation data,11,0.8693490624427795
resnet,validation data,12,0.8652978539466858
resnet,validation data,13,0.8664027452468872
resnet,validation data,14,0.8525918126106262
